a0007.wav,0,36,43,e
a0011.wav,1,36,38,e
a0012.wav,2,31,28,e
a0019.wav,3,31,35,e t 1000:
a0025.wav,4,31,33,e
a0027.wav,5,31,37,e t 750:
a0028.wav,6,31,31,e t 750:
a0029.wav,7,31,39,e t 750:
a0032.wav,8,36,32,e
a0049.wav,9,31,35,d
a0050.wav,10,31,36,e t 4500:
a0053.wav,11,36,36,e
a0055.wav,12,36,69,e t 6000:
a0068.wav,13,36,46,d
a0069.wav,14,31,33,e t 250:
a0080.wav,15,31,41,e 
a0081.wav,16,36,49,e t 9000:
a0085.wav,17,31,39,t 1500:
a0086.wav,18,36,40,e
a0093.wav,19,31,35,e
a0094.wav,20,36,41,e
a0102.wav,21,36,51,e
a0105.wav,22,35,51,e t :24000
a0106.wav,23,36,41,e
a0118.wav,24,31,32,t 500:
a0125.wav,25,36,43,e
a0127.wav,26,36,40,e
a0129.wav,27,36,54,e
a0136.wav,28,31,37,
b0003.wav,29,8,8,e
b0006.wav,30,8,11,e
b0011.wav,31,8,13,d
b0027.wav,32,8,8,e
b0028.wav,33,8,9,e
b0036.wav,34,8,10,d
b0047.wav,35,8,11,e
b0051.wav,36,8,11,e t 250:
b0052.wav,37,8,9,e t 250:
b0058.wav,38,8,8,e
b0064.wav,39,8,10,e
c0003.wav,40,33,36,e
c0007.wav,41,32,35,e
d0005.wav,42,9,16,e
d0013.wav,43,9,10,e
e00005.wav,44,34,46,e
e00007.wav,45,27,35,e
e00009.wav,46,14,16,e
e00015.wav,47,30,35,e
e00016.wav,48,27,26,e
e00019.wav,49,22,22,e
e00021.wav,50,24,34,e
e00023.wav,51,15,16,e
e00024.wav,52,21,23,e
e00026.wav,53,9,10,e
e00029.wav,54,32,59,e t 11000:
e00030.wav,55,29,28,e
e00031.wav,56,51,,d
e00033.wav,57,9,10,e
e00034.wav,58,11,12,e
e00035.wav,59,34,,e
e00036.wav,60,14,15,e
e00038.wav,61,12,14,e
e00040.wav,62,42,69,e
e00041.wav,63,23,25,e
e00043.wav,64,29,54,e
e00044.wav,65,14,21,d
e00046.wav,66,15,15,e t 2500:
e00047.wav,67,27,44,e
e00051.wav,68,25,35,e
e00052.wav,69,28,27,e
e00053.wav,70,24,31,e t 9750:
e00054.wav,71,49,57,e
e00055.wav,72,49,90,e
extrastole__128_1306344005749_A.wav,73,9,,e
extrastole__138_1306762146980_B.wav,74,8,,e
extrastole__151_1306779785624_B.wav,75,11,21,e
extrastole__163_1307104470471_C.wav,76,8,11,e
extrastole__179_1307990076841_C.wav,77,12,18,e
extrastole__184_1308073010307_A.wav,78,13,24,e
extrastole__198_1308141739338_B1.wav,79,7,8,e
extrastole__210_1308162935880_C.wav,80,10,18,e
extrastole__235_1308749032454_B.wav,81,8,17,e
extrastole__294_1311681084248_C.wav,82,12,26,e
murmur__122_1306325762831_D.wav,83,14,20,e
murmur__185_1308073325396_C.wav,84,16,18,e
murmur__196_1308141034858_B.wav,85,16,18,e
murmur__196_1308141034858_C.wav,86,17,19,e
murmur__200_1308144251434_D.wav,87,8,,e
murmur__239_1309195730333_C.wav,88,8,9,e
murmur__240_1309196119795_B.wav,89,7,7,e
murmur__240_1309196119795_C.wav,90,11,13,e
murmur__287_1311170903290_C.wav,91,9,8,e
